Ripe.fruit,Month,YrAfter,Period,Green.Year,n
1,Mar,No,Green,2014,1
1,Mar,No,Green,2015,1
1,Mar,No,Green,2021,2
1,May,No,Green,2013,22
1,May,Yes,Green,2018,6
1,May,Yes,Green,2023,1
1,Nov,No,Yellow,2012,10
1,Nov,No,Yellow,2013,2
1,Nov,No,Yellow,2020,1
1,Nov,Yes,Yellow,2018,1
1,Oct,No,Yellow,2012,13
1,Oct,No,Yellow,2013,2
1,Sep,No,Yellow,2012,25
1,Sep,No,Yellow,2015,3
1,Sep,No,Yellow,2019,2
2,Apr,No,Green,2013,33
2,Apr,Yes,Green,2018,1
2,Aug,No,Yellow,2012,32
2,Aug,No,Yellow,2014,1
2,Aug,No,Yellow,2019,1
2,Aug,Yes,Yellow,2023,1
2,Dec,No,Green,2013,11
2,Dec,No,Green,2014,2
2,Dec,No,Green,2019,2
2,Dec,No,Green,2020,2
2,Dec,No,Green,2021,1
2,Feb,No,Green,2013,51
2,Feb,No,Green,2014,7
2,Feb,No,Green,2020,4
2,Jan,No,Green,2013,22
2,Jan,No,Green,2020,1
2,Jan,No,Green,2021,2
2,Jul,No,Yellow,2012,30
2,Jul,No,Yellow,2013,1
2,Jul,No,Yellow,2019,1
2,Jul,No,Yellow,2020,1
2,Jun,No,Yellow,2012,27
2,Jun,No,Yellow,2013,30
2,Jun,No,Yellow,2014,1
2,Jun,No,Yellow,2019,1
2,Jun,No,Yellow,2021,1
2,Jun,Yes,Yellow,2023,4
2,Mar,No,Green,2013,5
2,Mar,No,Green,2015,2
2,Mar,No,Green,2021,3
2,May,No,Green,2013,29
2,May,No,Green,2014,1
2,May,No,Green,2019,1
2,Nov,No,Yellow,2012,6
2,Nov,No,Yellow,2013,3
2,Nov,No,Yellow,2015,1
2,Nov,No,Yellow,2019,1
2,Nov,No,Yellow,2020,4
2,Oct,No,Yellow,2012,17
2,Oct,No,Yellow,2013,1
2,Oct,No,Yellow,2020,1
2,Sep,No,Yellow,2012,13
2,Sep,No,Yellow,2020,1
2,Sep,Yes,Yellow,2023,2
3,Apr,No,Green,2013,74
3,Apr,No,Green,2019,2
3,Apr,Yes,Green,2018,1
3,Aug,No,Yellow,2012,20
3,Aug,No,Yellow,2020,1
3,Dec,No,Green,2013,4
3,Dec,No,Green,2020,2
3,Dec,Yes,Green,2023,1
3,Feb,No,Green,2013,72
3,Feb,No,Green,2020,2
3,Jan,No,Green,2013,9
3,Jan,No,Green,2019,2
3,Jul,No,Yellow,2012,41
3,Jul,Yes,Yellow,2023,1
3,Jun,No,Yellow,2012,50
3,Jun,No,Yellow,2013,28
3,Jun,Yes,Yellow,2018,1
3,Jun,Yes,Yellow,2023,2
3,Mar,No,Green,2013,7
3,Mar,No,Green,2021,2
3,May,No,Green,2013,57
3,May,No,Green,2019,3
3,May,Yes,Green,2018,1
3,May,Yes,Green,2023,1
3,Nov,No,Yellow,2012,9
3,Nov,No,Yellow,2019,4
3,Nov,Yes,Yellow,2018,1
3,Nov,Yes,Yellow,2023,1
3,Oct,No,Yellow,2012,5
3,Oct,No,Yellow,2019,3
3,Sep,No,Yellow,2012,20
3,Sep,No,Yellow,2019,3
4,Apr,No,Green,2013,60
4,Apr,Yes,Green,2018,1
4,Aug,No,Yellow,2012,13
4,Dec,Yes,Green,2023,1
4,Feb,No,Green,2013,36
4,Jul,No,Yellow,2012,20
4,Jul,No,Yellow,2015,1
4,Jun,No,Yellow,2012,32
4,Jun,No,Yellow,2013,22
4,Jun,No,Yellow,2020,1
4,Mar,No,Green,2013,3
4,May,No,Green,2013,35
4,Nov,No,Yellow,2015,1
4,Nov,No,Yellow,2020,1
4,Nov,Yes,Yellow,2018,3
4,Oct,No,Yellow,2012,4
4,Oct,No,Yellow,2019,1
4,Sep,No,Yellow,2012,6
4,Sep,No,Yellow,2015,1
